"GEO_ID","NAME","C03002_001E","C03002_001M","C03002_002E","C03002_002M","C03002_003E","C03002_003M","C03002_004E","C03002_004M","C03002_005E","C03002_005M","C03002_006E","C03002_006M","C03002_007E","C03002_007M","C03002_008E","C03002_008M","C03002_009E","C03002_009M","C03002_010E","C03002_010M","C03002_011E","C03002_011M","C03002_012E","C03002_012M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1600000US0606000","Berkeley city, California","121654","50","106703","2867","58748","3597","9844","2698","411","217","29765","3516","713","502","82","125","7140","1356","314","243","6826","1308","14951","2865"
"1600000US0622804","Escondido city, California","152232","74","73058","6155","51353","5072","3624","1444","1674","1460","10904","3227","284","440","369","337","4850","1570","102","167","4748","1581","79174","6152"
"1600000US3231900","Henderson city, Nevada","310374","57","256474","6161","195440","6837","16907","3310","1397","997","25605","3714","2236","1560","1585","1401","13304","2802","39","65","13265","2789","53900","6170"
"1600000US2562535","Somerville city, Massachusetts","81568","29","72240","3594","56218","3591","4611","2030","167","188","7173","2011","0","211","99","114","3972","2211","133","174","3839","2202","9328","3595"
"1600000US3714100","Concord city, North Carolina","94134","27","82686","2821","51980","3788","21763","2792","0","210","5278","1535","0","210","973","943","2692","1714","44","75","2648","1719","11448","2818"
"1600000US1253000","Orlando city, Florida","285705","55","195017","7769","102205","7269","72751","7352","84","181","9905","2734","145","240","2790","1493","7137","2665","1334","1493","5803","2182","90688","7770"
"1600000US4202000","Allentown city, Pennsylvania","121429","36","55998","3845","37210","3848","11980","2174","108","144","4835","2287","0","177","306","307","1559","867","145","229","1414","854","65431","3847"
"1600000US0636448","Indio city, California","91235","34","32308","3635","28453","3549","901","546","0","211","1394","841","0","211","550","663","1010","847","0","211","1010","847","58927","3637"
"1600000US4714000","Chattanooga city, Tennessee","180551","39","168416","2324","103558","3788","55545","3629","297","251","3662","1234","0","211","104","168","5250","1677","258","274","4992","1648","12135","2322"
"1600000US5343955","Marysville city, Washington","69765","53","60658","3183","49309","4527","788","443","752","598","5832","3671","998","885","82","135","2897","1091","0","204","2897","1091","9107","3181"
"1600000US5357745","Renton city, Washington","102152","28","85972","4171","42450","4311","8574","3084","582","666","26636","4000","1763","1819","455","528","5512","1697","66","115","5446","1679","16180","4182"
"1600000US4023200","Edmond city, Oklahoma","93118","47","87598","1735","71506","2472","5153","2185","1229","635","1785","982","112","199","504","591","7309","2242","0","161","7309","2242","5520","1729"
"1600000US0471510","Surprise city, Arizona","138144","62","112993","4447","97732","5335","8551","3771","201","179","3692","1548","72","84","186","216","2559","1240","130","216","2429","1196","25151","4447"
"1600000US0652526","Norwalk city, California","105125","43","32971","4868","8961","2016","3729","1886","152","125","17758","4285","819","1258","116","161","1436","785","86","102","1350","777","72154","4866"
"1600000US0845970","Longmont city, Colorado","95986","26","75010","2955","67681","2688","1360","1034","487","564","3439","1177","66","110","0","204","1977","884","127","150","1850","856","20976","2955"
"1600000US0656700","Perris city, California","79139","32","19362","4558","6574","2742","7178","3415","129","193","3277","2059","0","211","0","211","2204","1726","0","211","2204","1726","59777","4555"
"1600000US1703012","Aurora city, Illinois","206389","7322","113672","6929","70237","5408","19340","4102","444","338","17960","3644","66","118","417","308","5208","2223","274","297","4934","2219","92717","6335"
"1600000US1200410","Alafaya CDP, Florida","92740","11957","58654","8153","42720","7311","5445","2726","0","229","7182","3784","0","229","2400","1293","907","711","0","229","907","711","34086","8352"
"1600000US1723074","Elgin city, Illinois","110893","5679","63348","5899","48185","5066","7072","2210","0","190","5988","2103","0","190","202","333","1901","855","36","59","1865","852","47545","5997"
"1600000US0660102","Redwood City city, California","86186","53","52472","4369","35733","3427","1593","835","727","626","10994","2115","635","901","0","211","2790","987","75","128","2715","988","33714","4367"
"1600000US4842508","Lewisville city, Texas","106205","416","72525","4571","46532","4259","12499","2775","299","302","10480","2880","93","116","0","228","2622","1205","75","122","2547","1143","33680","4493"
